,date,180001.IB,180005.IB,180019.IB,190003.IB,160023.IB,190002.IB,value
0,2020-01-02,-53.369438085767655,-21.430934214243177,5.247481373538996,10.245883415633532,4.925687640908144,-30.631785502962433,-85.0131053728926
1,2020-01-03,-53.34925578147061,-21.413024695101,5.24643211790073,10.24447591781354,4.924152068205553,-30.633512161984054,-84.98073253463586
2,2020-01-06,-53.424635211528724,-21.447090597804834,5.251547150051005,10.254509723340632,4.92728051784587,-30.64933106675881,-85.08771948485484
3,2020-01-07,-53.445503546347254,-21.437380206082494,5.250577534558177,10.257088415647962,4.9280094810314425,-30.645441451142084,-85.09264977233425
4,2020-01-08,-53.50962409398113,-21.45407680549741,5.2544648891650505,10.259930590495182,4.93248377489245,-30.681687474613128,-85.19850911953898
5,2020-01-09,-53.51079886975319,-21.466117557243365,5.260591615597653,10.258140897693794,4.935210896921742,-30.68014815356515,-85.20312117034851
6,2020-01-10,-53.49941882188606,-21.493945030388915,5.269964467929558,10.258852195584698,4.941580697894189,-30.69667051774345,-85.21963700860998
7,2020-01-13,-53.498485423338295,-21.49435337517737,5.268970596058547,10.260518326845514,4.9383107126050465,-30.69466303918229,-85.21970220218884
8,2020-01-14,-53.475005726464,-21.473114877629946,5.26389133682142,10.259927962492643,4.936351456444631,-30.69641751236961,-85.18436736070487
9,2020-01-15,-53.47845407949359,-21.477577920183254,5.266638222817103,10.264712547403986,4.9378928126034545,-30.701170805340766,-85.18795922219306
10,2020-01-16,-53.48095803858575,-21.48621719735123,5.2678915088903215,10.263392409513855,4.9379313064088475,-30.704656722497166,-85.20261673362113
11,2020-01-17,-53.49787514490404,-21.502472658784995,5.2743312473763755,10.263099683455751,4.946946111764753,-30.71534007021912,-85.23131083131128
12,2020-01-19,-53.542996817828445,-21.503475039956893,5.277366264706434,10.267083700801521,4.9474577225809,-30.715112614399445,-85.26967678409594
13,2020-01-20,-51.71807153604593,-21.522882659956124,5.282137961678604,10.271517083975702,4.953970856014161,-30.733328763977493,-83.4666570583111
14,2020-01-21,-51.73265293367993,-21.560837038375244,5.295589949472047,10.274557143205818,4.964471616382955,-30.740301646769435,-83.49917290976379
15,2020-01-22,-51.75034226282253,-21.55548480996043,5.296269541595624,10.277364702295252,4.963849305932424,-30.747490397960732,-83.5158339209204
16,2020-01-23,-51.76851675603622,-21.595377172868375,5.310759220827702,10.277704841683759,4.973967137024227,-30.74755881321666,-83.54902154258556
17,2020-02-03,-52.08202279828821,-21.765292185708716,5.377082635340981,10.316672657997021,5.027116458990562,-30.799096415015676,-83.92553964668403
18,2020-02-04,-52.067965266970674,-21.75884357945546,5.370325997223882,10.309365739936212,5.023190361261673,-30.795897838360915,-83.91982458636528
19,2020-02-05,-52.05487095654225,-21.762942253591348,5.372458713736779,10.31093204664922,5.02525409793885,-30.80992942946818,-83.91909778127695
20,2020-02-06,-52.04833116165192,-21.762821261257002,5.374199632557296,10.313096108229635,5.026471328234536,-30.81538635462466,-83.91277170851211
21,2020-02-07,-52.08900236607554,-21.80319580367259,5.3848428378197735,10.3202831508492,5.033139179564872,-30.817679312033988,-83.97161231354826
22,2020-02-10,-52.130181666727886,-21.835368022322065,5.391627325592185,10.32362322281274,5.0388972031412305,-30.84037803771772,-84.0517799752215
23,2020-02-11,-52.0899581339593,-21.805745320374623,5.379902104308012,10.324403738535306,5.031272604888784,-30.843261883013927,-84.00338688961574
24,2020-02-12,-52.09716374796356,-21.80211134707116,5.378298384569666,10.327913796174249,5.030299610064966,-30.85044072593602,-84.01320403016187
25,2020-02-13,-52.0983321241252,-21.80151373707227,5.380915510041636,10.3284114486192,5.03076066658842,-30.853122021998864,-84.01288025794707
26,2020-02-14,-52.095173432048256,-21.787523130331646,5.37127004659353,10.327487382038655,5.027305944523915,-30.85884405986681,-84.01547724909062
27,2020-02-17,-52.08846905542734,-21.765037995620464,5.275515716605881,10.32713560206885,5.02306059742589,-30.87338100251706,-84.10117613746424
28,2020-02-18,-52.1028306745478,-21.771906733636396,5.280863545569905,10.334320713912664,5.0223942258174255,-30.87345305987827,-84.11061198276249
29,2020-02-19,-52.104069492990824,-21.770847889914428,5.273773357160886,10.332153880317122,5.0155288743281154,-30.87321271846206,-84.12667398956118
30,2020-02-20,-52.11151376778778,-21.744836237990135,5.271614713255885,10.322296330678745,5.015255436299081,-30.87740064877548,-84.12458417431968
31,2020-02-21,-52.14424826100111,-21.76434604728091,5.281528916963319,10.33400863553848,5.020127493637622,-30.88183680120552,-84.1547660633481
32,2020-02-24,-52.179441245105,-21.800965560170628,5.2920935361462975,10.340885767809713,5.026801678475487,-30.169337889912686,-83.48996371275682
33,2020-02-25,-52.190124149936416,-21.79451941027876,5.291788039543387,10.340001387498459,5.0263903236234215,-30.166465261975194,-83.4929290715251
34,2020-02-26,-52.20363309374866,-21.810027612758994,5.296097680283842,10.339915362180712,5.0270272472217625,-30.168818431159103,-83.51943884798044
35,2020-02-27,-52.20591932747913,-21.8396985177144,5.3039274786025805,10.340866408900814,5.034021515347193,-30.169144833132517,-83.53594727547546
36,2020-02-28,-52.20963975503498,-21.902299167952027,5.321160050853604,10.349012885705747,5.0511268376603216,-30.162183259656874,-83.5528224084242
37,2020-03-02,-52.20929773231089,-21.898695613742593,5.320135051369447,10.351536334823397,5.050462497294695,-30.16923600306999,-83.55509546563593
38,2020-03-03,-52.19674238091388,-21.909605472654523,5.318841696435351,10.351431930683628,5.048406688018213,-30.160305854943534,-83.54797339337475
